  ID                   comp_ID   pair_ID   obs_time              PA        PA_err    sep        sep_err   deltamag   deltamag_err   band    instru   
  HD93206              1         Aa-Ab     20.121.241            323.95    2.14      1002.44    33.04     3.85       0.12           H       IMG      
  HD93206              1         Aa-Ab     20.121.241            323.95    2.14      1002.44    33.04     3.89       0.11           Ks      IMG      
  HD93206              5         A-E       20.121.241            302.93    2.23      2581.06    89.98     7.37       0.38           H       IMG      
  HD93206              5         A-E       20.121.241            302.93    2.23      2581.06    89.98     7.03       0.16           Ks      IMG      
  HD93206              2         A-B       20.121.241            276.09    1.29      7072.58    100.57    5.87       0.22           H       IMG      
  HD93206              2         A-B       20.121.241            276.09    1.29      7072.58    100.57    5.70       0.20           Ks      IMG      
  HD93205              1         A-C       20.111.848            270.43    1.27      3697.93    50.48     5.82       0.13           H       IMG      
  HD93205              1         A-C       20.111.848            270.43    1.27      3697.93    50.48     5.34       0.21           Ks      IMG      
  HD93222              1         A-B       20.130.687            265.82    2.36      10.18      0.29      0.28       0.25           H       PIO      
  HD93222              2         A-C       20.111.876            178.42    1.36      3805.05    60.79     4.82       0.16           H       IMG      
  HD93222              2         A-C       20.111.876            178.42    1.36      3805.05    60.79     4.12       0.11           Ks      IMG      
  HD93250              1         A-B       20.130.688            52.65     4.99      1.49       0.09      0.17       0.01           H       PIO      
  HD93403              1         A-B       20.111.848            34.50     1.53      210.69     7.02      4.21       0.69           H       SAM      
  HD93403              1         A-B       20.111.848            34.50     1.53      210.69     7.02      3.42       0.06           Ks      SAM      
  HD93632              1         A-B       20.124.438            239.58    4.25      24.92      1.43      2.60       0.14           H       PIO      
  HD93632              1         A-B       20.111.876            240.59    11.91     29.89      14.44     2.44       1.44           H       SAM      
  HD93632              1         A-B       20.111.876            240.59    11.91     29.89      14.44     2.77       1.77           Ks      SAM      
  HD93843              0         n/a       n/a                   n/a       n/a       n/a        n/a       n/a        n/a            n/a              
  HDE303492            1         A-B       20.121.241            10.95     2.15      6505.42    215.99    7.21       0.22           H       IMG      
  HDE303492            1         A-B       20.121.241            10.95     2.15      6505.42    215.99    6.56       0.21           Ks      IMG      
  HD94963              0         n/a       n/a                   n/a       n/a       n/a        n/a       n/a        n/a            n/a              
  HD96670              1         A-B       20.124.438            289.88    2.19      29.87      0.82      1.27       0.10           H       PIO      
  HD96670              1         A-B       20.121.241            288.08    9.30      32.47      6.69      1.25       0.10           H       SAM      
  HD96670              1         A-B       20.121.241            288.08    9.30      32.47      6.69      1.57       0.14           Ks      SAM      
  HD96917              0         n/a       n/a                   n/a       n/a       n/a        n/a       n/a        n/a            n/a              
  HD97253              1         A-B       20.124.438            140.23    3.26      11.24      0.55      1.95       0.06           H       PIO      
  HD97253              2         A-C       20.121.241            138.12    1.75      3439.58    86.56     6.78       0.16           H       IMG      
  HD97253              2         A-C       20.121.241            138.12    1.75      3439.58    86.56     6.37       0.25           Ks      IMG      
  HD101131             1         A-B       20.111.849            297.95    4.28      61.08      5.64      0.95       0.10           H       SAM      
  HD101131             1         A-B       20.111.849            297.95    4.28      61.08      5.64      0.93       0.10           Ks      SAM      
  HD101131             1         A-B       20.141.555            304.96    1.64      45.45      1.12      1.20       0.13           H       PIO      
  HD101190             1         Aa-Ab     20.141.633            121.53    1.60      25.73      0.60      0.62       0.12           H       PIO      
